model,light_strength,ambient_strength,psnr,psnr_std
Gargoyle_B0BYTQT173_Dragon,2.0,0.25,22.838606748978805,0.9223860966004273
Pottery_B0CJJ59SLH_BlueHairFairy,2.0,0.25,22.97047705033463,0.6495015720366382
TeaPot_B00ESU7PFG_WhiteRoseFlowers,1.5,0.25,23.58213220173034,0.6536243412458422
BirdHouseRedRoofYellowWindows,2.5,0.2,23.719130593014647,0.9701903933722068
BirdHouse_B004HJE8AS_WhiteWallsTwoPorches_2,2.0,0.25,20.660194434048503,1.935553265082034
Airplane_B097C7SHJH_WhiteBlue,1.5,0.25,20.900676654647192,0.884008272516152
Figurine_B0CR3Y5T3K_Gnome,2.5,0.1,23.533877499371684,1.012275048966166
Mallard_B09LV16HD5_LightBrown2,2.5,0.1,23.347748564553292,0.638270944865705
Mouse_B0CHNVBBLF_Honeycomb_1,1.5,0.25,21.54663618723288,0.9714096007163722
SpiceRack,2.0,0.25,16.708587832043197,2.8080633310483467
CandlePattern04_2,2.0,0.2,23.44603628031738,1.2906964825780214
CurtainVarAHangingCurtain02_2,4.0,0.25,19.74584766265481,3.0923635123896607
DisplayDragon,2.0,0.25,19.116658675398163,0.5804764838472749
DisplayWolf,2.0,0.25,23.159038723880688,0.8320223343953019
Donut_B,2.0,0.25,23.792713360900233,0.5334436837766595
Figurine,3.0,0.25,19.469335594908483,0.410786328017387
HugeBookishDragon_1,2.0,0.25,21.499563041758336,0.6495342506691988
